patient_id,phenotypes,degrees,attention
Group_1,Submucous cleft lip,2,0.00043061774340458214
Group_1,Prominent nasal tip,1,0.00022909876133780926
Group_1,Dermatochalasis,1,0.00021820662368554622
Group_1,Aplasia of the uterus,2,0.00036726766848005354
Group_1,Elevated serum aspartate aminotransferase,3,0.0004176231159362942
Group_1,Joint hypermobility,142,0.00028584140818566084
Group_1,Hypertension,278,0.00035764489439316094
Group_1,EEG with focal spikes,18,0.00027343290275894105
Group_1,Peripheral axonal neuropathy,68,0.0002779367787297815
Group_1,Thoracic aortic aneurysm,9,4.267554322723299e-05
Group_1,Pulmonary artery stenosis,30,0.00026338876341469586
Group_1,Hamartomatous polyposis,14,0.00038209775811992586
Group_1,Profound sensorineural hearing impairment,1,0.00019640375103335828
Group_1,Decreased level of erythritol in urine,1,0.004008435644209385
Group_1,Progressive night blindness,13,0.0004214422369841486
Group_1,Short toe,96,0.000640977406874299
Group_1,Abnormality of the scrotum,27,0.00013571640010923147
Group_1,Thoracic kyphosis,28,0.00043650311999954283
Group_1,Decreased light- and dark-adapted electroretinogram amplitude,6,0.00042979983845725656
Group_1,Abnormal endocardium morphology,13,0.0003301015240140259
Group_1,Abnormality of the skin,128,0.00033672296558506787
Group_1,Nonketotic hypoglycemia,6,0.0005663947085849941
Group_1,Intestinal pseudo-obstruction,1,0.00026674996479414403
Group_1,Abnormal parotid gland morphology,8,0.00032272699172608554
Group_1,Reduced respiratory ciliary beating frequency,1,7.103534153429791e-05
Group_1,Orofacial dyskinesia,2,0.0002234274725196883
Group_1,Morphological central nervous system abnormality,47,0.00025698350509628654
Group_1,Lower limb spasticity,61,0.00028748114709742367
Group_1,Decreased glomerular filtration rate,2,0.000717083050403744
Group_1,Elevated urinary dopamine,2,0.0004313329700380564
Group_1,Increased theta frequency activity in EEG,2,0.00024421184207312763
Group_1,Rhombencephalosynapsis,2,0.000256879604421556
Group_1,Hypertensive retinopathy,2,0.0003995894512627274
Group_1,Anteverted ears,1,0.000511611346155405
Group_1,Increased muscle glycogen content,7,0.0011341474018990993
Group_1,Motor delay,411,0.000311085517751053
Group_1,Sleep apnea,57,0.0002852273464668542
Group_1,Female infertility,44,0.0001325993362115696
Group_1,Palmoplantar blistering,12,0.0004227394238114357
Group_1,Loss of facial adipose tissue,11,0.00042291279532946646
Group_1,Clinodactyly,181,0.00036263506626710296
Group_1,Highly arched eyebrow,144,0.00026978112873621285
Group_1,Ocular hypertension,1,0.00033370626624673605
Group_1,Abnormality of eye movement,107,0.00029662635643035173
Group_1,Neurodevelopmental abnormality,19,0.0002640169986989349
